ID,agent,choice,outcome,RT,block,group,trialno
103,3,1,0,819.8,1,1,3
103,3,0,0,959.5,1,1,4
103,3,1,1,1113.7,1,1,5
103,3,1,1,737.5,1,1,6
103,3,0,1,724.8,1,1,7
103,3,0,0,687.6,1,1,8
103,3,0,0,642.2,1,1,9
103,3,1,0,668.8,1,1,10
103,3,1,1,777.3,1,1,11
103,3,1,1,1453.6,1,1,12
103,3,1,0,535.9,1,1,13
103,3,1,1,472.3,1,1,14
103,3,1,1,525.2,1,1,15
103,3,1,1,737,1,1,16
103,2,1,1,2122.6,1,1,1
103,2,1,0,1401.3,1,1,2
103,2,1,1,1316.3,1,1,3
103,2,1,1,665.7,1,1,4
103,2,1,1,656.1,1,1,5
103,2,1,0,488.7,1,1,6
103,2,1,1,691.4,1,1,7
103,2,1,1,506.7,1,1,8
103,2,1,0,490,1,1,9
103,2,1,1,368.8,1,1,10
103,2,1,1,595.4,1,1,11
103,2,1,1,853.3,1,1,12
103,2,1,0,569.5,1,1,13
103,2,1,1,630.7,1,1,14
103,2,1,1,595,1,1,15
103,2,1,1,568.6,1,1,16
103,1,1,1,1016.2,1,1,1
103,1,1,1,542.5,1,1,2
103,1,1,1,1121,1,1,3
103,1,1,0,707.9,1,1,4
103,1,1,1,734.5,1,1,5
103,1,1,0,802.2,1,1,6
103,1,1,1,849.5,1,1,7
103,1,1,1,887.2,1,1,8
103,1,1,0,1091.4,1,1,9
103,1,1,1,476.2,1,1,10
103,1,1,1,739.8,1,1,11
103,1,1,1,743,1,1,12
103,1,1,1,736.3,1,1,13
103,1,1,0,656.1,1,1,14
103,1,1,1,788.6,1,1,15
103,1,1,1,532.5,1,1,16
103,3,1,1,1007.9,2,1,1
103,3,0,1,444.2,2,1,2
103,3,0,0,432.2,2,1,3
103,3,1,1,1246.3,2,1,4
103,3,1,1,671.2,2,1,5
103,3,1,0,592.3,2,1,6
103,3,1,1,415.9,2,1,7
103,3,1,1,972.2,2,1,8
103,3,1,0,843.7,2,1,9
103,3,1,1,506,2,1,10
103,3,1,1,678.5,2,1,11
103,3,1,1,451.8,2,1,12
103,3,1,0,563.8,2,1,13
103,3,1,1,580.9,2,1,14
103,3,1,1,470.3,2,1,15
103,3,1,1,498,2,1,16
103,1,1,1,1315.1,2,1,1
103,1,1,1,826.9,2,1,2
103,1,1,0,388.8,2,1,3
103,1,1,1,385.8,2,1,4
103,1,1,1,730.4,2,1,5
103,1,1,1,717.3,2,1,6
103,1,1,0,635.7,2,1,7
103,1,1,1,443.5,2,1,8
103,1,1,1,607.2,2,1,9
103,1,1,0,723,2,1,10
103,1,0,0,342.8,2,1,11
103,1,1,1,662.5,2,1,12
103,1,1,0,385.5,2,1,13
103,1,1,1,542,2,1,14
103,1,1,1,398.5,2,1,15
103,1,1,1,865.7,2,1,16
103,3,0,0,840.2,3,1,1
103,3,1,1,682.5,3,1,2
103,3,1,1,1377,3,1,3
103,3,1,0,717.3,3,1,4
103,3,1,1,623.5,3,1,5
103,3,1,0,759.4,3,1,6
103,3,1,1,599.9,3,1,7
103,3,1,1,760.5,3,1,8
103,3,1,0,618,3,1,9
103,3,1,1,814.3,3,1,10
103,3,1,1,791.8,3,1,11
103,3,1,1,945.6,3,1,12
103,3,1,1,625.5,3,1,13
103,3,1,0,569.9,3,1,14
103,3,1,1,480.8,3,1,15
103,3,1,1,515.8,3,1,16
103,2,1,1,959.6,2,1,1
103,2,1,1,837.3,2,1,2
103,2,1,1,910.9,2,1,3
103,2,1,0,493.9,2,1,4
103,2,1,1,678,2,1,5
103,2,1,0,573.3,2,1,6
103,2,1,1,584,2,1,7
103,2,1,1,668.3,2,1,8
103,2,1,0,929.3,2,1,9
103,2,1,1,495.4,2,1,10
103,2,1,1,791.2,2,1,11
103,2,1,1,504.4,2,1,12
103,2,1,1,585.1,2,1,13
103,2,1,0,593.6,2,1,14
103,2,0,0,456.5,2,1,15
103,2,1,1,528,2,1,16
103,1,0,0,973.7,3,1,1
103,1,1,0,550.5,3,1,2
